t_s,x,y,state,gcs_up,saf_buffered,cells_pending,dist_link
0.00,6.00,3.00,LINKED,,,96,0.00
0.20,6.00,3.00,LINKED,,,96,0.00
0.40,6.00,3.00,LINKED,,,0,0.00
0.70,6.00,3.00,LINKED,,,0,0.00
0.90,6.00,3.00,LINKED,,,0,0.00
1.10,6.00,3.00,LINKED,,,0,0.00
1.30,6.02,3.07,LINKED,,,0,0.07
1.50,6.06,3.19,LINKED,,,0,0.20
1.70,6.12,3.35,LINKED,,,0,0.37
1.90,6.17,3.53,LINKED,,,0,0.55
2.10,6.22,3.76,LINKED,,,0,0.79
2.30,6.28,4.00,LINKED,,,13,0.25
2.50,6.32,4.25,LINKED,,,0,0.50
2.70,6.36,4.49,LINKED,,,0,0.75
2.90,6.39,4.76,LINKED,,,0,1.02
3.10,6.42,5.04,LINKED,,,13,1.29
3.30,6.44,5.29,LINKED,,,0,0.26
3.50,6.48,5.53,LINKED,,,0,0.50
3.70,6.56,5.74,LINKED,,,0,0.71
3.90,6.68,5.91,LINKED,,,0,0.91
4.20,6.96,6.10,LINKED,,,13,0.11
4.50,7.29,6.14,LINKED,,,7,0.44
4.80,7.61,6.09,LINKED,,,0,0.75
5.10,7.98,5.99,LINKED,,,2,1.13
5.40,8.35,5.89,LINKED,,,7,0.25
5.70,8.72,5.79,LINKED,,,0,0.63
6.00,9.11,5.70,LINKED,,,11,1.03
6.30,9.49,5.64,LINKED,,,0,1.42
6.60,9.84,5.67,LINKED,,,0,0.35
6.90,10.20,5.78,LINKED,,,11,0.73
7.20,10.53,5.92,LINKED,,,0,1.09
7.50,10.90,6.06,LINKED,,,7,0.13
7.80,11.27,6.18,LINKED,,,9,0.53
8.10,11.65,6.28,LINKED,,,0,0.92
8.30,11.92,6.34,LINKED,,,0,1.19
8.50,12.19,6.38,LINKED,,,12,1.46
8.70,12.43,6.46,LINKED,,,0,0.26
8.90,12.65,6.57,LINKED,,,0,0.50
9.10,12.86,6.69,LINKED,,,0,0.74
9.30,13.08,6.82,LINKED,,,12,0.99
9.50,13.31,6.94,LINKED,,,0,1.25
9.70,13.53,7.05,LINKED,,,7,0.13
9.90,13.79,7.14,LINKED,,,0,0.41
10.10,14.06,7.22,LINKED,,,9,0.68
10.30,14.31,7.29,LINKED,,,0,0.94
10.50,14.55,7.35,LINKED,,,0,1.19
10.70,14.82,7.39,LINKED,,,0,1.46
10.90,15.05,7.47,LINKED,,,12,0.24
11.10,15.22,7.63,LINKED,,,0,0.46
11.30,15.34,7.83,LINKED,,,0,0.68
11.50,15.43,8.06,LINKED,,,8,0.90
11.70,15.49,8.29,LINKED,,,0,1.12
11.90,15.53,8.52,LINKED,,,0,0.12
12.10,15.55,8.78,LINKED,,,0,0.39
12.30,15.57,9.05,LINKED,,,11,0.65
12.50,15.57,9.30,LINKED,,,0,0.91
12.70,15.57,9.55,LINKED,,,0,1.15
12.90,15.56,9.82,LINKED,,,0,1.42
13.10,15.56,10.09,LINKED,,,12,0.27
13.30,15.55,10.34,LINKED,,,0,0.52
13.50,15.54,10.61,LINKED,,,0,0.80
13.70,15.53,10.90,LINKED,,,0,1.08
13.90,15.53,11.17,LINKED,,,12,1.35
14.10,15.52,11.42,LINKED,,,0,0.12
14.30,15.52,11.69,LINKED,,,0,0.39
14.50,15.51,11.96,LINKED,,,0,0.66
14.70,15.51,12.23,LINKED,,,13,0.93
14.90,15.51,12.48,LINKED,,,0,1.19
15.10,15.50,12.77,LINKED,,,0,1.47
15.30,15.50,13.04,LINKED,,,13,1.75
15.50,15.50,13.31,LINKED,,,0,2.01
15.70,15.50,13.59,LINKED,,,0,2.29
15.90,15.50,13.88,LINKED,,,0,2.58
16.10,15.50,14.15,LINKED,,,13,2.86
16.30,15.50,14.41,LINKED,,,0,0.12
16.50,15.50,14.68,LINKED,,,0,0.39
16.70,15.50,14.96,LINKED,,,0,0.67
16.90,15.50,15.22,LINKED,,,13,0.94
17.10,15.50,15.48,LINKED,,,0,1.20
17.30,15.50,15.76,LINKED,,,0,0.14
17.50,15.50,16.04,LINKED,,,13,0.42
17.70,15.50,16.31,LINKED,,,0,0.68
17.90,15.50,16.59,LINKED,,,0,0.97
18.10,15.50,16.88,LINKED,,,0,1.25
18.30,15.50,17.16,LINKED,,,13,0.14
18.50,15.50,17.41,LINKED,,,13,0.39
18.70,15.50,17.68,LINKED,,,0,0.66
18.90,15.50,17.96,LINKED,,,0,0.94
19.10,15.50,18.22,LINKED,,,13,1.21
19.30,15.50,18.48,LINKED,,,0,0.13
19.50,15.50,18.77,LINKED,,,0,0.42
19.70,15.50,19.04,LINKED,,,13,0.70
19.90,15.50,19.31,LINKED,,,0,0.96
20.10,15.50,19.59,LINKED,,,0,1.24
20.30,15.50,19.88,LINKED,,,0,0.14
20.50,15.50,20.16,LINKED,,,13,0.42
20.70,15.50,20.41,LINKED,,,13,0.68
20.90,15.50,20.68,LINKED,,,0,0.95
21.10,15.50,20.96,LINKED,,,0,1.23
21.30,15.53,21.21,LINKED,,,13,0.12
21.50,15.67,21.39,LINKED,,,0,0.33
21.70,15.86,21.50,LINKED,,,0,0.54
21.90,16.07,21.58,LINKED,,,7,0.75
22.10,16.29,21.63,LINKED,,,0,0.95
22.30,16.49,21.68,LINKED,,,0,0.10
22.50,16.61,21.82,LINKED,,,0,0.28
22.70,16.69,22.00,LINKED,,,9,0.46
22.90,16.72,22.21,LINKED,,,0,0.65
23.10,16.73,22.41,LINKED,,,0,0.84
23.30,16.73,22.65,LINKED,,,0,0.12
23.50,16.71,22.91,LINKED,,,0,0.38
23.70,16.69,23.16,LINKED,,,12,0.64
23.90,16.66,23.41,LINKED,,,0,0.88
24.10,16.64,23.67,LINKED,,,0,1.15
24.30,16.64,23.92,LINKED,,,0,0.12
24.50,16.75,24.12,LINKED,,,12,0.34
24.70,16.93,24.27,LINKED,,,0,0.56
24.90,17.13,24.38,LINKED,,,7,0.76
25.10,17.33,24.45,LINKED,,,0,0.96
25.30,17.56,24.52,LINKED,,,0,0.12
25.50,17.76,24.62,LINKED,,,0,0.34
25.70,17.98,24.73,LINKED,,,0,0.58
25.90,18.20,24.85,LINKED,,,11,0.84
26.10,18.42,24.96,LINKED,,,0,1.08
26.30,18.64,25.07,LINKED,,,8,1.32
26.50,18.88,25.16,LINKED,,,0,1.58
26.70,19.13,25.23,LINKED,,,9,1.84
26.90,19.37,25.30,LINKED,,,0,2.09
27.10,19.63,25.35,LINKED,,,0,2.35
27.30,19.89,25.41,LINKED,,,0,0.13
27.50,20.11,25.51,LINKED,,,12,0.36
27.70,20.33,25.63,LINKED,,,0,0.61
27.90,20.53,25.76,LINKED,,,0,0.85
28.10,20.74,25.88,LINKED,,,0,1.09
28.30,20.97,26.00,LINKED,,,0,0.13
28.50,21.21,26.10,LINKED,,,15,0.39
28.70,21.43,26.19,LINKED,,,15,0.63
28.90,21.68,26.26,LINKED,,,0,0.89
29.10,21.94,26.32,LINKED,,,0,1.16
29.30,22.20,26.36,LINKED,,,12,0.13
29.50,22.44,26.33,LINKED,,,0,0.37
29.70,22.66,26.26,LINKED,,,0,0.59
29.90,22.89,26.18,LINKED,,,0,0.83
30.10,23.13,26.08,LINKED,,,12,1.08
30.30,23.36,25.99,LINKED,,,19,0.12
30.50,23.59,25.90,LINKED,,,0,0.37
30.70,23.85,25.82,LINKED,,,0,0.64
30.90,24.10,25.75,LINKED,,,9,0.91
31.10,24.35,25.70,LINKED,,,0,1.16
31.30,24.59,25.61,LINKED,,,0,0.12
31.50,24.73,25.44,LINKED,,,0,0.34
31.70,24.81,25.22,LINKED,,,0,0.56
31.90,24.85,24.98,LINKED,,,8,0.78
32.10,24.85,24.74,LINKED,,,0,1.00
32.30,24.83,24.50,LINKED,,,0,0.13
32.50,24.80,24.23,LINKED,,,0,0.40
32.70,24.76,23.96,LINKED,,,9,0.67
32.90,24.72,23.70,LINKED,,,0,0.93
33.10,24.68,23.45,LINKED,,,0,1.18
33.30,24.65,23.18,LINKED,,,0,0.14
33.50,24.62,22.91,LINKED,,,9,0.41
33.70,24.59,22.66,LINKED,,,0,0.67
33.90,24.57,22.38,LINKED,,,0,0.94
34.10,24.55,22.10,LINKED,,,0,1.22
34.30,24.54,21.83,LINKED,,,0,0.13
34.50,24.53,21.56,LINKED,,,0,0.40
34.70,24.52,21.27,LINKED,,,0,0.69
34.90,24.51,20.99,LINKED,,,0,0.98
35.10,24.51,20.72,LINKED,,,0,1.25
35.30,24.50,20.46,LINKED,,,0,0.13
35.50,24.50,20.18,LINKED,,,0,0.41
35.70,24.50,19.91,LINKED,,,0,0.68
35.90,24.50,19.65,LINKED,,,0,0.94
36.10,24.50,19.38,LINKED,,,0,1.21
36.30,24.50,19.09,LINKED,,,0,0.14
36.50,24.50,18.82,LINKED,,,2,0.41
36.70,24.51,18.57,LINKED,,,0,0.66
36.90,24.58,18.35,LINKED,,,0,0.89
37.10,24.68,18.16,LINKED,,,0,1.09
37.30,24.77,17.98,LINKED,,,5,0.10
37.50,24.81,17.79,LINKED,,,0,0.30
37.70,24.82,17.59,LINKED,,,0,0.50
37.90,24.81,17.40,LINKED,,,0,0.68
38.10,24.78,17.22,LINKED,,,0,0.86
38.30,24.75,17.05,LINKED,,,0,0.09
38.50,24.72,16.86,LINKED,,,5,0.29
38.70,24.68,16.65,LINKED,,,0,0.50
38.90,24.65,16.46,LINKED,,,0,0.70
39.10,24.62,16.28,LINKED,,,0,0.88
39.30,24.63,16.13,LINKED,,,0,0.06
39.50,24.74,16.06,LINKED,,,0,0.19
39.70,24.91,16.04,LINKED,,,0,0.34
39.90,25.11,16.05,LINKED,,,3,0.52
40.10,25.32,16.09,LINKED,,,0,0.72
40.30,25.52,16.13,LINKED,,,0,0.92
40.50,25.71,16.18,LINKED,,,0,1.10
40.70,25.87,16.23,LINKED,,,0,1.26
40.90,26.01,16.28,LINKED,,,4,1.41
41.10,26.11,16.31,LINKED,,,0,1.51
41.30,26.19,16.34,LINKED,,,0,0.05
41.50,26.32,16.36,LINKED,,,0,0.18
41.70,26.52,16.39,LINKED,,,0,0.38
41.90,26.75,16.41,LINKED,,,0,0.62
42.10,27.01,16.43,LINKED,,,4,0.87
42.30,27.25,16.44,LINKED,,,0,0.12
42.50,27.48,16.46,LINKED,,,0,0.35
42.70,27.69,16.47,LINKED,,,0,0.56
42.90,27.87,16.48,LINKED,,,0,0.74
43.10,28.02,16.48,LINKED,,,5,0.89
43.30,28.14,16.49,LINKED,,,0,0.07
43.50,28.30,16.49,LINKED,,,0,0.23
43.70,28.47,16.50,LINKED,,,0,0.40
43.90,28.64,16.50,LINKED,,,0,0.57
44.10,28.80,16.50,LINKED,,,0,0.72
44.30,28.95,16.50,LINKED,,,0,0.08
44.50,29.14,16.50,LINKED,,,5,0.27
44.70,29.34,16.50,LINKED,,,0,0.47
44.90,29.53,16.50,LINKED,,,0,0.67
45.10,29.71,16.50,LINKED,,,0,0.85
45.30,29.89,16.50,LINKED,,,0,0.09
45.50,30.09,16.50,LINKED,,,5,0.30
45.70,30.31,16.50,LINKED,,,0,0.51
45.90,30.51,16.50,LINKED,,,0,0.71
46.10,30.70,16.50,LINKED,,,0,0.90
46.30,30.88,16.50,LINKED,,,0,0.10
46.50,31.09,16.50,LINKED,,,5,0.31
46.70,31.30,16.50,LINKED,,,0,0.52
46.90,31.51,16.50,LINKED,,,0,0.73
47.10,31.70,16.50,LINKED,,,0,0.92
47.30,31.88,16.50,LINKED,,,0,0.10
47.50,32.09,16.50,LINKED,,,73,0.31
47.70,32.31,16.50,LINKED,,,0,0.52
47.90,32.51,16.50,LINKED,,,0,0.73
48.10,32.70,16.50,LINKED,,,0,0.92
48.30,32.87,16.48,LINKED,,,0,0.08
48.50,33.05,16.42,LINKED,,,13,0.28
48.70,33.26,16.32,LINKED,,,0,0.50
48.90,33.46,16.21,LINKED,,,0,0.73
49.10,33.66,16.10,LINKED,,,0,0.96
49.30,33.87,15.98,LINKED,,,9,0.11
49.50,33.98,15.82,LINKED,,,0,0.30
49.70,34.02,15.64,LINKED,,,9,0.48
49.90,34.02,15.44,LINKED,,,0,0.65
50.10,33.99,15.21,LINKED,,,0,0.87
50.30,33.92,14.99,LINKED,,,8,0.10
50.50,33.80,14.88,LINKED,,,0,0.26
50.70,33.65,14.84,LINKED,,,0,0.40
50.90,33.48,14.86,LINKED,,,0,0.53
51.10,33.32,14.82,LINKED,,,0,0.69
51.30,33.19,14.71,LINKED,,,0,0.08
51.50,33.12,14.58,LINKED,,,0,0.23
51.70,33.10,14.39,LINKED,,,0,0.41
51.90,33.11,14.15,LINKED,,,0,0.63
52.10,33.14,13.91,LINKED,,,11,0.87
52.30,33.17,13.67,LINKED,,,11,0.12
52.50,33.22,13.44,LINKED,,,0,0.36
52.70,33.26,13.18,LINKED,,,0,0.62
52.90,33.30,12.91,LINKED,,,12,0.89
53.10,33.34,12.66,LINKED,,,0,1.14
53.30,33.34,12.43,LINKED,,,0,0.11
53.50,33.24,12.28,LINKED,,,0,0.28
53.70,33.07,12.19,LINKED,,,0,0.44
53.90,32.88,12.16,LINKED,,,7,0.61
54.10,32.67,12.16,LINKED,,,0,0.79
54.30,32.46,12.17,LINKED,,,0,0.97
54.50,32.21,12.20,LINKED,,,0,1.20
54.70,31.95,12.24,LINKED,,,0,1.44
54.90,31.70,12.28,LINKED,,,0,1.68
55.10,31.46,12.32,LINKED,,,0,1.91
55.30,31.19,12.35,LINKED,,,0,0.14
55.50,30.92,12.38,LINKED,,,0,0.41
55.70,30.67,12.41,LINKED,,,0,0.66
55.90,30.39,12.43,LINKED,,,0,0.94
56.10,30.11,12.45,LINKED,,,0,1.22
56.30,29.84,12.46,LINKED,,,0,0.14
56.50,29.58,12.47,LINKED,,,0,0.39
56.70,29.32,12.48,LINKED,,,0,0.66
56.90,29.04,12.49,LINKED,,,0,0.93
57.10,28.78,12.49,LINKED,,,2,1.20
57.30,28.53,12.48,LINKED,,,0,0.12
57.50,28.32,12.42,LINKED,,,0,0.34
57.70,28.13,12.32,LINKED,,,0,0.54
57.90,27.98,12.22,LINKED,,,4,0.73
58.10,27.85,12.11,LINKED,,,0,0.89
