t_s,x,y,state,gcs_up,saf_buffered,cells_pending,dist_link
0.00,6.00,3.00,LINKED,,,96,0.00
0.20,6.00,3.00,LINKED,,,0,0.00
0.40,6.00,3.00,LINKED,,,0,0.00
0.70,6.00,3.00,LINKED,,,0,0.00
0.90,6.00,3.00,LINKED,,,0,0.00
1.10,6.00,3.00,LINKED,,,0,0.00
1.30,6.02,3.07,LINKED,,,0,0.07
1.50,6.06,3.19,LINKED,,,0,0.20
1.70,6.12,3.35,LINKED,,,0,0.37
1.90,6.17,3.53,LINKED,,,0,0.55
2.10,6.22,3.76,LINKED,,,0,0.79
2.30,6.28,4.00,LINKED,,,13,0.25
2.50,6.32,4.25,LINKED,,,0,0.50
2.70,6.36,4.49,LINKED,,,0,0.75
2.90,6.39,4.76,LINKED,,,0,1.02
3.10,6.42,5.04,LINKED,,,13,1.29
3.30,6.44,5.29,LINKED,,,0,0.26
3.50,6.48,5.53,LINKED,,,0,0.50
3.70,6.56,5.74,LINKED,,,0,0.71
3.90,6.68,5.91,LINKED,,,0,0.91
4.20,6.96,6.10,LINKED,,,13,0.11
4.50,7.29,6.14,LINKED,,,7,0.44
4.80,7.61,6.09,LINKED,,,0,0.75
5.10,7.98,5.99,LINKED,,,2,1.13
5.40,8.35,5.89,LINKED,,,7,0.25
5.70,8.72,5.79,LINKED,,,0,0.63
6.00,9.11,5.70,LINKED,,,11,1.03
6.30,9.49,5.64,LINKED,,,0,1.42
6.60,9.84,5.67,LINKED,,,0,0.35
6.90,10.20,5.78,LINKED,,,11,0.73
7.20,10.53,5.92,LINKED,,,0,1.09
7.50,10.90,6.06,LINKED,,,7,0.13
7.80,11.27,6.18,LINKED,,,9,0.53
8.10,11.65,6.28,LINKED,,,0,0.92
8.30,11.92,6.34,LINKED,,,0,1.19
8.50,12.19,6.38,LINKED,,,12,1.46
8.70,12.43,6.46,LINKED,,,0,0.26
8.90,12.65,6.57,LINKED,,,0,0.50
9.10,12.86,6.69,LINKED,,,0,0.74
9.30,13.08,6.82,LINKED,,,12,0.99
9.50,13.31,6.94,LINKED,,,0,1.25
9.70,13.53,7.05,LINKED,,,7,0.13
