t_s,x,y,state,gcs_up,saf_buffered,cells_pending,dist_link
0.00,3.00,3.00,LINKED,,,80,0.00
0.20,3.00,3.00,LINKED,,,0,0.00
0.40,3.00,3.00,LINKED,,,0,0.00
0.70,3.00,3.00,LINKED,,,0,0.00
0.90,3.00,3.00,LINKED,,,0,0.00
1.10,3.00,3.00,LINKED,,,0,0.00
1.30,3.07,2.98,LINKED,,,1,0.07
1.50,3.19,2.94,LINKED,,,0,0.20
1.70,3.35,2.88,LINKED,,,0,0.37
1.90,3.53,2.83,LINKED,,,0,0.55
2.10,3.76,2.78,LINKED,,,0,0.79
2.30,4.00,2.72,LINKED,,,5,0.25
2.50,4.25,2.68,LINKED,,,0,0.50
2.70,4.49,2.64,LINKED,,,0,0.75
2.90,4.76,2.61,LINKED,,,0,1.02
3.10,5.04,2.58,LINKED,,,8,1.29
3.30,5.29,2.56,LINKED,,,0,0.26
3.50,5.55,2.54,LINKED,,,0,0.51
3.70,5.82,2.53,LINKED,,,0,0.78
3.90,6.09,2.52,LINKED,,,8,1.06
4.20,6.46,2.49,LINKED,,,0,0.12
4.50,6.77,2.37,LINKED,,,0,0.45
4.80,7.10,2.21,LINKED,,,9,0.81
5.10,7.43,2.05,LINKED,,,9,1.18
5.40,7.76,1.90,LINKED,,,1,1.55
5.70,8.14,1.78,LINKED,,,4,1.94
6.00,8.50,1.68,LINKED,,,0,2.31
6.30,8.91,1.61,LINKED,,,0,2.72
6.60,9.27,1.48,LINKED,,,7,0.38
6.90,9.59,1.30,LINKED,,,0,0.75
7.20,9.91,1.12,LINKED,,,0,1.11
7.50,10.25,0.95,LINKED,,,8,0.13
7.80,10.59,0.81,LINKED,,,0,0.49
8.10,10.97,0.71,LINKED,,,0,0.89
8.30,11.23,0.65,LINKED,,,3,1.14
8.50,11.48,0.61,LINKED,,,0,1.40
8.70,11.71,0.62,LINKED,,,0,0.23
8.90,11.95,0.67,LINKED,,,0,0.48
9.10,12.19,0.76,LINKED,,,6,0.73
9.30,12.42,0.85,LINKED,,,0,0.97
9.50,12.64,0.95,LINKED,,,0,1.22
9.70,12.89,1.05,LINKED,,,6,0.13
9.90,13.15,1.13,LINKED,,,7,0.40
10.10,13.39,1.21,LINKED,,,0,0.65
10.30,13.65,1.28,LINKED,,,0,0.92
10.50,13.92,1.33,LINKED,,,0,1.20
10.70,14.19,1.38,LINKED,,,8,1.47
10.90,14.43,1.37,LINKED,,,0,0.25
11.10,14.65,1.31,LINKED,,,0,0.47
11.30,14.88,1.23,LINKED,,,0,0.71
11.50,15.12,1.14,LINKED,,,8,0.97
11.70,15.36,1.04,LINKED,,,0,1.22
11.90,15.59,0.95,LINKED,,,1,0.13
12.10,15.85,0.86,LINKED,,,0,0.40
12.30,16.11,0.79,LINKED,,,3,0.67
12.50,16.35,0.72,LINKED,,,0,0.92
12.70,16.62,0.67,LINKED,,,0,1.20
12.90,16.90,0.62,LINKED,,,0,1.48
13.10,17.17,0.63,LINKED,,,6,0.27
13.30,17.42,0.69,LINKED,,,0,0.52
13.50,17.64,0.77,LINKED,,,0,0.76
13.70,17.88,0.86,LINKED,,,0,1.01
13.90,18.12,0.96,LINKED,,,6,1.27
14.10,18.36,1.05,LINKED,,,7,0.12
14.30,18.59,1.14,LINKED,,,0,0.37
14.50,18.85,1.21,LINKED,,,0,0.64
14.70,19.11,1.28,LINKED,,,7,0.91
14.90,19.35,1.33,LINKED,,,0,1.16
15.10,19.62,1.38,LINKED,,,0,1.43
15.30,19.87,1.37,LINKED,,,0,0.25
15.50,20.13,1.31,LINKED,,,8,0.51
15.70,20.37,1.23,LINKED,,,0,0.76
15.90,20.59,1.14,LINKED,,,0,1.00
16.10,20.82,1.04,LINKED,,,0,1.25
16.30,21.07,0.95,LINKED,,,4,0.13
16.50,21.31,0.86,LINKED,,,0,0.39
16.70,21.55,0.79,LINKED,,,0,0.64
16.90,21.81,0.72,LINKED,,,0,0.91
17.10,22.08,0.67,LINKED,,,6,1.18
17.30,22.33,0.64,LINKED,,,0,0.12
17.50,22.56,0.67,LINKED,,,0,0.35
17.70,22.78,0.74,LINKED,,,0,0.57
17.90,23.01,0.83,LINKED,,,6,0.82
18.10,23.25,0.92,LINKED,,,0,1.08
18.30,23.47,1.01,LINKED,,,7,0.12
18.50,23.72,1.10,LINKED,,,0,0.38
18.70,23.98,1.18,LINKED,,,0,0.65
18.90,24.23,1.25,LINKED,,,7,0.91
19.10,24.48,1.31,LINKED,,,0,1.17
19.30,24.74,1.34,LINKED,,,0,0.12
19.50,25.00,1.31,LINKED,,,0,0.38
19.70,25.25,1.25,LINKED,,,8,0.63
19.90,25.48,1.16,LINKED,,,0,0.87
20.10,25.70,1.07,LINKED,,,0,1.11
20.30,25.95,0.98,LINKED,,,1,0.13
20.50,26.19,0.89,LINKED,,,3,0.39
20.70,26.43,0.82,LINKED,,,3,0.64
20.90,26.68,0.75,LINKED,,,0,0.90
21.10,26.95,0.69,LINKED,,,0,1.17
21.30,27.21,0.66,LINKED,,,6,0.13
21.50,27.45,0.69,LINKED,,,0,0.37
21.70,27.66,0.75,LINKED,,,0,0.59
21.90,27.89,0.84,LINKED,,,0,0.83
22.10,28.13,0.93,LINKED,,,6,1.08
22.30,28.36,1.02,LINKED,,,7,0.12
22.50,28.59,1.11,LINKED,,,0,0.37
22.70,28.85,1.18,LINKED,,,0,0.64
22.90,29.11,1.25,LINKED,,,7,0.90
23.10,29.35,1.31,LINKED,,,0,1.15
23.30,29.60,1.34,LINKED,,,0,0.12
23.50,29.83,1.31,LINKED,,,0,0.35
23.70,30.07,1.25,LINKED,,,8,0.60
23.90,30.31,1.16,LINKED,,,0,0.84
24.10,30.53,1.07,LINKED,,,0,1.08
24.30,30.77,0.98,LINKED,,,1,0.13
24.50,31.02,0.89,LINKED,,,3,0.40
24.70,31.27,0.82,LINKED,,,0,0.66
24.90,31.52,0.75,LINKED,,,0,0.91
25.10,31.79,0.69,LINKED,,,0,1.19
25.30,32.06,0.66,LINKED,,,6,0.13
25.50,32.31,0.69,LINKED,,,0,0.39
25.70,32.55,0.75,LINKED,,,0,0.63
25.90,32.76,0.84,LINKED,,,0,0.86
26.10,33.00,0.93,LINKED,,,6,1.11
26.30,33.24,1.02,LINKED,,,7,0.13
26.50,33.47,1.11,LINKED,,,0,0.37
26.70,33.72,1.18,LINKED,,,0,0.63
26.90,33.98,1.25,LINKED,,,0,0.90
27.10,34.23,1.31,LINKED,,,7,1.16
27.30,34.47,1.37,LINKED,,,0,0.12
27.50,34.68,1.48,LINKED,,,0,0.36
27.70,34.86,1.60,LINKED,,,0,0.57
27.90,35.06,1.74,LINKED,,,8,0.81
28.10,35.27,1.86,LINKED,,,0,1.06
28.30,35.45,1.95,LINKED,,,0,0.09
28.50,35.58,1.92,LINKED,,,0,0.21
28.70,35.65,1.82,LINKED,,,0,0.30
28.90,35.69,1.68,LINKED,,,0,0.40
29.10,35.75,1.53,LINKED,,,0,0.55
29.30,35.85,1.37,LINKED,,,0,0.10
29.50,36.00,1.22,LINKED,,,8,0.32
29.70,36.19,1.08,LINKED,,,0,0.55
29.90,36.38,0.96,LINKED,,,1,0.77
30.10,36.59,0.85,LINKED,,,0,1.00
30.30,36.80,0.80,LINKED,,,0,0.09
30.50,36.91,0.86,LINKED,,,0,0.21
30.70,36.96,0.99,LINKED,,,0,0.32
30.90,36.97,1.17,LINKED,,,0,0.45
31.10,36.95,1.35,LINKED,,,0,0.60
31.30,36.94,1.54,LINKED,,,0,0.09
31.50,37.02,1.71,LINKED,,,7,0.28
31.70,37.16,1.87,LINKED,,,0,0.48
31.90,37.33,2.00,LINKED,,,7,0.69
